A,00:00:07.296,00:00:07.920,E...
B,00:00:13.568,00:00:14.200,Me.
C,00:00:19.800,00:00:21.060,
D,00:00:26.144,00:00:26.840,
E,00:00:07.920,00:00:08.680,
F,00:00:14.200,00:00:15.240,
G,00:00:21.060,00:00:21.960,
I,00:00:08.680,00:00:10.320,
J,00:00:15.616,00:00:16.380,
K,00:00:21.960,00:00:23.220,
L,00:00:27.940,00:00:28.800,
M,00:00:10.320,00:00:11.320,
N,00:00:16.608,00:00:17.180,
O,00:00:23.220,00:00:23.760,
P,00:00:18.220,00:00:19.400,
R,00:00:17.180,00:00:18.220,
S,00:00:23.904,00:00:24.660,
T,00:00:29.660,00:00:30.080,
U,00:00:11.320,00:00:12.220,
W,00:00:24.660,00:00:25.376,
X,00:00:30.080,00:00:30.540,
Y,00:00:12.220,00:00:13.160,
Z,00:00:19.400,00:00:19.800,
Their,00:00:40.570,00:00:42.870,
If,00:01:05.160,00:01:06.300,
Alpha,00:00:43.440,00:00:44.570,
Beta,00:01:06.870,00:01:08.590,
Delta,00:01:27.450,00:01:28.880,
Could,00:01:47.170,00:01:48.020,
Circular,00:00:58.300,00:01:00.300,
Composure,00:01:19.730,00:01:21.160,
Footwork,00:01:41.170,00:01:42.310,
Journalism,00:01:56.880,00:01:58.880,
Python,00:00:59.730,00:01:01.730,
Advice,00:01:21.730,00:01:22.880,
Choice,00:01:42.590,00:01:43.450,
Immovable,00:01:01.730,00:01:03.440,
Massage,00:01:23.450,00:01:24.590,
Moisten,00:01:43.450,00:01:45.170,
Knife,00:01:03.730,00:01:04.300,
Spoon,00:01:24.880,00:01:25.730,
Time,00:00:45.720,00:00:47.150,
Number,00:00:46.870,00:00:48.570,
Giggled,00:00:49.150,00:00:50.570,
Upword,00:00:50.570,00:00:52.300,
Control,00:00:52.570,00:00:54.010,
Uniform,00:00:56.300,00:00:58.300,
Has,00:01:08.590,00:01:10.300,
Water,00:01:10.300,00:01:11.440,
Hypothesis,00:01:11.730,00:01:13.730,
November,00:01:15.160,00:01:16.300,
Backspace,00:01:25.730,00:01:27.450,
Look,00:01:29.160,00:01:30.020,
Now,00:01:30.310,00:01:31.450,
Supervision,00:01:31.450,00:01:33.160,
Paragraph,00:01:34.020,00:01:35.740,
Bravo,00:01:35.740,00:01:37.450,
India,00:01:37.450,00:01:39.170,
Shift,00:01:39.170,00:01:40.310,
Escape,00:01:44.880,00:01:46.600,
People,00:01:48.310,00:01:48.880,
Find,00:01:49.170,00:01:50.020,
Download,00:01:50.310,00:01:51.450,
Oscar,00:01:52.880,00:01:54.030,
Charlie,00:01:54.310,00:01:55.170,
S1,00:02:09.170,00:02:21.170,
S2,00:02:24.750,00:02:31.750,
S3,00:02:32.610,00:02:40.320,
S4,00:02:41.180,00:02:49.470,
S5,00:02:51.380,00:03:01.760,
Paragraph,00:03:04.900,00:04:05.940,
